
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , ini learningRate = 1.000000e-02 , min batch size = 400 , DropPeriod = 6 , DropFactor = 0.100000 
>> Hidden Units = 60 , v2 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> load amp=2 
load amp=3 
load amp=4 
load amp=5 
load amp=6 
load amp=7 
load amp=8 
load amp=9 
load amp=10 
load amp=11 
load amp=12 
load amp=13 
load amp=14 
load amp=15 
load amp=16 
load amp=17 
load amp=18 
load amp=19 
load amp=20 
load amp=21 
load amp=22 
load amp=23 
load amp=24 
load amp=25 
load amp=26 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       8 |         434 |       00:02:29 |         0.06 |         0.01 |       0.0020 |   5.6455e-05 |          0.0010 |
|       8 |         448 |       00:02:34 |         0.06 |         0.01 |       0.0021 |   5.9212e-05 |          0.0010 |
|       9 |         450 |       00:02:35 |         0.07 |              |       0.0022 |              |          0.0010 |
|       9 |         462 |       00:02:39 |         0.06 |         0.01 |       0.0021 |   6.3697e-05 |          0.0010 |
|       9 |         476 |       00:02:44 |         0.06 |     9.75e-03 |       0.0018 |   4.7562e-05 |          0.0010 |
|       9 |         490 |       00:02:48 |         0.06 |     9.76e-03 |       0.0021 |   4.7663e-05 |          0.0010 |
|       9 |         500 |       00:02:52 |         0.06 |              |       0.0021 |              |          0.0010 |
|       9 |         504 |       00:02:53 |         0.07 |         0.01 |       0.0022 |   5.2055e-05 |          0.0010 |
|      10 |         518 |       00:02:58 |         0.06 |         0.01 |       0.0020 |   6.5363e-05 |          0.0010 |
|      10 |         532 |       00:03:03 |         0.06 |         0.01 |       0.0019 |   5.2443e-05 |          0.0010 |
|      10 |         546 |       00:03:08 |         0.07 |     9.53e-03 |       0.0021 |   4.5451e-05 |          0.0010 |
|      10 |         550 |       00:03:09 |         0.06 |              |       0.0021 |              |          0.0010 |
|      10 |         560 |       00:03:13 |         0.06 |     9.70e-03 |       0.0020 |   4.7000e-05 |          0.0010 |
|      11 |         574 |       00:03:18 |         0.06 |     9.73e-03 |       0.0019 |   4.7355e-05 |          0.0010 |
|      11 |         588 |       00:03:23 |         0.06 |         0.01 |       0.0021 |   5.2538e-05 |          0.0010 |
|      11 |         600 |       00:03:27 |         0.06 |              |       0.0019 |              |          0.0010 |
|      11 |         602 |       00:03:27 |         0.07 |         0.01 |       0.0022 |   5.2300e-05 |          0.0010 |
|      11 |         616 |       00:03:32 |         0.06 |         0.01 |       0.0020 |   5.3371e-05 |          0.0010 |
|      12 |         630 |       00:03:37 |         0.06 |     9.74e-03 |       0.0018 |   4.7401e-05 |          0.0010 |
|      12 |         644 |       00:03:42 |         0.06 |         0.01 |       0.0019 |   5.0442e-05 |          0.0010 |
|      12 |         650 |       00:03:44 |         0.06 |              |       0.0019 |              |          0.0010 |
|      12 |         658 |       00:03:47 |         0.06 |     9.42e-03 |       0.0020 |   4.4369e-05 |          0.0010 |
|      12 |         672 |       00:03:52 |         0.06 |     9.50e-03 |       0.0021 |   4.5158e-05 |          0.0010 |
|      13 |         686 |       00:03:57 |         0.06 |     9.28e-03 |       0.0021 |   4.3039e-05 |      1.0000e-04 |
|      13 |         700 |       00:04:01 |         0.06 |     9.15e-03 |       0.0020 |   4.1874e-05 |      1.0000e-04 |
|      13 |         714 |       00:04:06 |         0.07 |     9.14e-03 |       0.0023 |   4.1726e-05 |      1.0000e-04 |
|      13 |         728 |       00:04:11 |         0.06 |     9.16e-03 |       0.0021 |   4.1945e-05 |      1.0000e-04 |
|      14 |         742 |       00:04:16 |         0.06 |     9.17e-03 |       0.0021 |   4.2061e-05 |      1.0000e-04 |
|      14 |         750 |       00:04:19 |         0.06 |              |       0.0018 |              |      1.0000e-04 |
|      14 |         756 |       00:04:21 |         0.06 |     9.10e-03 |       0.0018 |   4.1440e-05 |      1.0000e-04 |
|      14 |         770 |       00:04:26 |         0.06 |     9.09e-03 |       0.0019 |   4.1309e-05 |      1.0000e-04 |
|      14 |         784 |       00:04:30 |         0.06 |     9.13e-03 |       0.0021 |   4.1645e-05 |      1.0000e-04 |
